epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,658.35,0.30755,2.15343,0.95613,0.72476,0.8045,0.79659,0.77033,0.29192,1.10338,0.71092,0.000300866,0.000300866,0.000300866
2,1316.75,0.20312,0.91022,0.8994,0.76526,0.80341,0.86801,0.86323,0.21884,0.99469,0.59561,0.000564011,0.000564011,0.000564011
3,2012.58,0.18582,0.80633,0.88586,0.73106,0.83756,0.84739,0.84068,0.20623,1.02455,0.55411,0.00078716,0.00078716,0.00078716
4,2703.76,0.17798,0.75341,0.8812,0.76814,0.86903,0.87772,0.85646,0.24611,0.71842,0.53828,0.000729018,0.000729018,0.000729018
5,3387.4,0.16133,0.6803,0.8735,0.77987,0.8202,0.89573,0.89384,0.18087,0.77738,0.53749,0.000669024,0.000669024,0.000669024
6,4040.36,0.15564,0.66364,0.86097,0.74915,0.73708,0.83186,0.80593,0.26903,0.93318,0.57317,0.00060903,0.00060903,0.00060903
7,4672.9,0.12709,0.56061,0.85381,0.76468,0.86508,0.87484,0.86437,0.23339,0.76202,0.53767,0.000549036,0.000549036,0.000549036
8,5287.96,0.11396,0.47863,0.84876,0.79559,0.89726,0.89908,0.88287,0.20653,0.68028,0.53597,0.000489042,0.000489042,0.000489042
9,5907.56,0.10586,0.42661,0.8442,0.87552,0.90927,0.94482,0.94061,0.20027,0.62319,0.52559,0.000429048,0.000429048,0.000429048
10,6542.94,0.09669,0.40268,0.83941,0.88134,0.89368,0.94287,0.92804,0.20097,0.61306,0.54881,0.000369054,0.000369054,0.000369054
11,7181.99,0.08819,0.36119,0.83825,0.90863,0.87747,0.9417,0.93819,0.17342,0.58276,0.52186,0.00030906,0.00030906,0.00030906
12,7802.67,0.07776,0.34137,0.83921,0.89138,0.9173,0.9442,0.93887,0.17209,0.57283,0.51376,0.000249066,0.000249066,0.000249066
13,8437.21,0.07217,0.29804,0.83378,0.88319,0.88565,0.93201,0.92574,0.1797,0.60571,0.52692,0.000189072,0.000189072,0.000189072
